padding,n,mean_s,median_s,std_s,ci95_s,cv_pct
0,10,0.636972,0.657634,0.102718,0.063665,16.126
32,10,0.703276,0.672674,0.103149,0.063932,14.667
64,10,0.600553,0.570373,0.087874,0.054465,14.632
96,10,0.656631,0.666088,0.081095,0.050263,12.350
128,10,0.614669,0.596072,0.067526,0.041853,10.986
160,10,0.677954,0.688644,0.089032,0.055183,13.132
192,10,0.658204,0.634935,0.107287,0.066497,16.300
224,10,0.603474,0.578721,0.115249,0.071432,19.098
256,10,0.670517,0.660146,0.075993,0.047101,11.334
320,10,0.672737,0.672338,0.072542,0.044962,10.783
384,10,0.636127,0.624411,0.063341,0.039259,9.957
448,10,0.659367,0.653433,0.075977,0.047091,11.523
512,10,0.619631,0.604890,0.110700,0.068613,17.865
640,10,0.641640,0.628710,0.074417,0.046124,11.598
768,10,0.638597,0.633789,0.113817,0.070544,17.823
896,10,0.677283,0.690643,0.100526,0.062306,14.842
1024,10,0.620060,0.614891,0.113595,0.070407,18.320
1152,10,0.595658,0.590954,0.102135,0.063304,17.147
1280,10,0.629351,0.628038,0.075530,0.046814,12.001
1408,10,0.650389,0.653657,0.097733,0.060576,15.027
1536,10,0.708939,0.718301,0.078186,0.048460,11.029
1792,10,0.630109,0.626822,0.127350,0.078932,20.211
2048,10,0.620138,0.614980,0.093270,0.057810,15.040
2304,10,0.648784,0.662880,0.102020,0.063233,15.725
2560,10,0.669499,0.702232,0.088469,0.054834,13.214
2816,10,0.646425,0.640383,0.097337,0.060330,15.058
3072,10,0.653263,0.626088,0.114787,0.071146,17.571
3328,10,0.665838,0.705121,0.100314,0.062175,15.066
3584,10,0.613794,0.574382,0.114015,0.070667,18.575
3840,10,0.644341,0.651032,0.055924,0.034662,8.679
4096,10,0.675133,0.675744,0.078340,0.048555,11.604
