padding,run,elapsed_s,throughput_ops_s
0,1,0.740229,135093
0,2,0.687028,145555
0,3,0.628240,159175
0,4,0.720384,138815
0,5,0.711979,140454
0,6,0.746574,133945
0,7,0.464943,215080
0,8,0.543673,183934
0,9,0.500186,199926
0,10,0.626481,159622
32,1,0.626932,159507
32,2,0.600322,166577
32,3,0.591038,169194
32,4,0.671736,148868
32,5,0.859042,116409
32,6,0.621443,160916
32,7,0.777513,128615
32,8,0.673612,148453
32,9,0.866643,115388
32,10,0.744480,134322
64,1,0.541162,184788
64,2,0.618737,161620
64,3,0.623546,160373
64,4,0.768180,130178
64,5,0.567386,176247
64,6,0.731625,136682
64,7,0.492187,203175
64,8,0.573360,174411
64,9,0.545811,183214
64,10,0.543531,183982
96,1,0.701462,142559
96,2,0.487782,205010
96,3,0.595425,167947
96,4,0.626576,159597
96,5,0.768276,130162
96,6,0.704070,142031
96,7,0.714825,139894
96,8,0.630714,158550
96,9,0.618801,161603
96,10,0.718383,139201
128,1,0.582245,171749
128,2,0.569051,175731
128,3,0.570130,175399
128,4,0.719323,139020
128,5,0.614194,162815
128,6,0.667842,149736
128,7,0.609898,163962
128,8,0.514251,194457
128,9,0.580754,172190
128,10,0.719001,139082
160,1,0.838949,119197
160,2,0.751867,133002
160,3,0.617823,161859
160,4,0.619096,161526
160,5,0.689133,145110
160,6,0.631361,158388
160,7,0.512397,195161
160,8,0.703805,142085
160,9,0.688156,145316
160,10,0.726952,137561
192,1,0.820272,121911
192,2,0.728052,137353
192,3,0.589764,169559
192,4,0.569287,175658
192,5,0.661906,151079
192,6,0.817491,122326
192,7,0.605480,165158
192,8,0.691193,144677
192,9,0.607964,164483
192,10,0.490632,203819
224,1,0.700683,142718
224,2,0.517010,193420
224,3,0.746424,133972
224,4,0.591146,169163
224,5,0.781673,127931
224,6,0.478631,208929
224,7,0.434702,230043
224,8,0.560314,178471
224,9,0.566297,176586
224,10,0.657864,152007
256,1,0.614532,162725
256,2,0.667581,149794
256,3,0.656882,152234
256,4,0.771604,129600
256,5,0.623536,160376
256,6,0.663409,150737
256,7,0.623123,160482
256,8,0.783579,127620
256,9,0.751299,133103
256,10,0.549626,181942
320,1,0.680587,146932
320,2,0.697340,143402
320,3,0.598968,166954
320,4,0.766325,130493
320,5,0.617920,161833
320,6,0.664090,150582
320,7,0.790562,126492
320,8,0.657637,152059
320,9,0.701512,142549
320,10,0.552425,181020
384,1,0.549708,181915
384,2,0.580530,172256
384,3,0.710302,140785
384,4,0.638674,156574
384,5,0.598893,166975
384,6,0.707811,141281
384,7,0.610148,163895
384,8,0.665977,150155
384,9,0.725729,137793
384,10,0.573500,174368
448,1,0.743174,134558
448,2,0.781462,127965
448,3,0.667525,149807
448,4,0.639340,156411
448,5,0.576444,173477
448,6,0.669991,149256
448,7,0.591757,168988
448,8,0.619395,161448
448,9,0.742555,134670
448,10,0.562024,177928
512,1,0.461831,216529
512,2,0.610723,163740
512,3,0.557929,179234
512,4,0.599056,166929
512,5,0.772947,129375
512,6,0.664726,150438
512,7,0.705491,141745
512,8,0.591297,169120
512,9,0.770007,129869
512,10,0.462301,216309
640,1,0.512910,194966
640,2,0.628669,159066
640,3,0.628752,159045
640,4,0.580078,172391
640,5,0.734474,136152
640,6,0.655711,152506
640,7,0.745149,134201
640,8,0.594963,168078
640,9,0.612785,163189
640,10,0.722904,138331
768,1,0.557315,179432
768,2,0.556862,179578
768,3,0.671895,148833
768,4,0.737063,135674
768,5,0.689784,144973
768,6,0.831341,120288
768,7,0.747664,133750
768,8,0.595682,167875
768,9,0.491571,203430
768,10,0.506792,197319
896,1,0.630323,158649
896,2,0.710674,140711
896,3,0.540705,184944
896,4,0.670612,149118
896,5,0.818001,122249
896,6,0.507097,197201
896,7,0.789089,126728
896,8,0.741895,134790
896,9,0.723699,138179
896,10,0.640735,156071
1024,1,0.617065,162058
1024,2,0.445455,224489
1024,3,0.496576,201379
1024,4,0.612718,163207
1024,5,0.702418,142365
1024,6,0.707954,141252
1024,7,0.807740,123802
1024,8,0.555995,179858
1024,9,0.717876,139300
1024,10,0.536802,186288
1152,1,0.423602,236071
1152,2,0.576132,173571
1152,3,0.638353,156653
1152,4,0.619033,161542
1152,5,0.822780,121539
1152,6,0.584164,171185
1152,7,0.632124,158197
1152,8,0.521266,191841
1152,9,0.597744,167296
1152,10,0.541382,184712
1280,1,0.721066,138683
1280,2,0.700362,142783
1280,3,0.586708,170442
1280,4,0.720421,138808
1280,5,0.552534,180984
1280,6,0.505203,197940
1280,7,0.596888,167536
1280,8,0.659189,151702
1280,9,0.672952,148599
1280,10,0.578183,172956
1408,1,0.610745,163734
1408,2,0.776337,128810
1408,3,0.508038,196836
1408,4,0.575264,173833
1408,5,0.682032,146621
1408,6,0.735359,135988
1408,7,0.525040,190462
1408,8,0.674647,148226
1408,9,0.783761,127590
1408,10,0.632667,158061
1536,1,0.731289,136745
1536,2,0.686938,145573
1536,3,0.817517,122322
1536,4,0.772957,129373
1536,5,0.705313,141781
1536,6,0.696396,143596
1536,7,0.772013,129532
1536,8,0.578750,172786
1536,9,0.744821,134260
1536,10,0.583395,171410
1792,1,0.592392,168807
1792,2,0.677048,147700
1792,3,0.414358,241337
1792,4,0.773282,129319
1792,5,0.750691,133211
1792,6,0.502528,198994
1792,7,0.590073,169470
1792,8,0.530521,188494
1792,9,0.661252,151228
1792,10,0.808942,123618
